"12","东北地区","rain","17532","4146","13386","13724","3260","10464","2845","658","2187","644","146","498","159","44","115","75","14","61","东北地区#哈尔滨#长春#吉林#沈阳#鞍山#大连"
"13","东北地区","snow","17532","4146","13386","16325","3863","12462","907","201","706","134","34","100","64","19","45","17","5","12","东北地区#哈尔滨#长春#吉林#沈阳#鞍山#大连"
"14","东北地区","cloud","17532","4146","13386","7198","1734","5464","0","0","0","5222","1214","4008","3964","916","3048","1063","258","805","东北地区#哈尔滨#长春#吉林#沈阳#鞍山#大连"
"15","华北地区","rain","23376","5702","17674","18911","4599","14312","3566","870","2696","565","142","423","184","52","132","44","10","34","华北地区#北京#天津#石家庄#保定#唐山#太原#呼和浩特#包头"
"16","华北地区","snow","23376","5702","17674","22682","5527","17155","533","132","401","42","11","31","11","3","8","2","0","2","华北地区#北京#天津#石家庄#保定#唐山#太原#呼和浩特#包头"
"17","华北地区","cloud","23376","5702","17674","9067","2220","6847","0","0","0","7254","1744","5510","6109","1492","4617","840","217","623","华北地区#北京#天津#石家庄#保定#唐山#太原#呼和浩特#包头"
"18","华东地区","rain","122724","30744","91980","83818","20971","62847","27682","7017","20665","7423","1859","5564","2152","522","1630","1055","232","823","华东地区#济南#滨州#德州#济宁#青岛#威海#潍坊#烟台#淄博#南京#常州#连云港#南通#苏州#宿迁#泰州#无锡#徐州#盐城#扬州#镇江#合肥#滁州#铜陵#芜湖#上海#杭州#湖州#嘉兴#金华#宁波#衢州#绍兴#台州#温州#南昌#赣州#福州#龙岩#泉州#厦门#漳州"
"19","华东地区","snow","122724","30744","91980","120179","30100","90079","1631","426","1205","223","51","172","77","21","56","20","3","17","华东地区#济南#滨州#德州#济宁#青岛#威海#潍坊#烟台#淄博#南京#常州#连云港#南通#苏州#宿迁#泰州#无锡#徐州#盐城#扬州#镇江#合肥#滁州#铜陵#芜湖#上海#杭州#湖州#嘉兴#金华#宁波#衢州#绍兴#台州#温州#南昌#赣州#福州#龙岩#泉州#厦门#漳州"
"20","华东地区","cloud","122724","30744","91980","21445","5515","15930","4","0","4","43896","10832","33064","45920","11583","34337","10865","2671","8194","华东地区#济南#滨州#德州#济宁#青岛#威海#潍坊#烟台#淄博#南京#常州#连云港#南通#苏州#宿迁#泰州#无锡#徐州#盐城#扬州#镇江#合肥#滁州#铜陵#芜湖#上海#杭州#湖州#嘉兴#金华#宁波#衢州#绍兴#台州#温州#南昌#赣州#福州#龙岩#泉州#厦门#漳州"
"21","西北地区","rain","17532","4428","13104","14058","3507","10551","2821","746","2075","497","133","364","73","20","53","5","1","4","西北地区#西安#宝鸡#兰州#银川#西宁#乌鲁木齐"
